,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-60.0,-6.0,42.0,9.811979058604264,4590
1,1a,-63.0,6.0,36.0,8.601922229480559,
2,1b,-63.0,0.0,42.0,8.399054234971924,
3,1c,-48.0,-15.0,39.0,8.364057638404052,
4,2,60.0,0.0,36.0,9.60512754998254,1728
5,2a,45.0,-12.0,42.0,7.590199981504003,
6,2b,69.0,6.0,30.0,4.1361976598920505,
7,3,63.0,12.0,27.0,8.284500273037644,999
8,3a,51.0,3.0,30.0,6.968355066468985,
9,3b,54.0,9.0,39.0,3.565609243206613,
10,4,36.0,-3.0,15.0,8.087451045338037,1269
11,5,51.0,30.0,27.0,7.850264573462223,756
12,5a,48.0,21.0,27.0,7.411892012748529,
13,5b,57.0,39.0,27.0,6.043533033817538,
14,5c,45.0,9.0,27.0,5.133462514854644,
15,6,-63.0,-18.0,27.0,5.807509640212733,810
16,6a,-63.0,-21.0,42.0,5.646351779842029,
17,6b,-60.0,-21.0,33.0,5.416271266564966,
18,6c,-63.0,-9.0,24.0,4.292129799128634,
19,7,45.0,-18.0,57.0,5.71096322401956,1053
20,7a,36.0,-12.0,57.0,5.633745580281254,
21,7b,30.0,-9.0,66.0,4.796134558157831,
22,7c,36.0,-15.0,69.0,4.254544454778613,
23,8,-12.0,-15.0,93.0,5.522476630567731,621
24,8a,-6.0,-15.0,99.0,4.71385165904835,
25,8b,-3.0,-18.0,90.0,4.2707327134038024,
26,8c,-18.0,-12.0,96.0,4.085567578087717,
27,9,-3.0,-27.0,90.0,5.406319775093429,891
28,9a,-24.0,-24.0,90.0,5.331805598633146,
29,9b,-36.0,-24.0,90.0,4.70008813098002,
30,9c,-12.0,-24.0,81.0,4.193728146890236,
31,10,-15.0,-60.0,66.0,4.835098715014957,918
32,10a,-15.0,-60.0,57.0,4.6156421805146755,
33,10b,-6.0,-63.0,63.0,4.0915680149334435,
34,11,-12.0,-69.0,51.0,4.565541277496738,540
35,11a,-24.0,-63.0,51.0,3.855580423099271,
36,11b,-6.0,-69.0,51.0,3.784628130688631,
